condition,pathogenic_variant_count
Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase,351
Familial melanoma,349
Coffin-Siris syndrome 1,349
"Epilepsy, childhood absence, susceptibility to, 6",348
Senior-Loken syndrome 6,347
"Achondrogenesis, type IB",345
Progressive familial intrahepatic cholestasis type 2,345
"Fanconi anemia, complementation group S",344
alpha Thalassemia,343
Mitochondrial disease,343
Multiple endocrine neoplasia type 2A,342
Congenital myasthenic syndrome 4A,340
Cervical cancer,340
GM1 gangliosidosis,340
"Aortic aneurysm, familial thoracic 4",339
Tumor predisposition syndrome 3,336
"Primary hyperoxaluria, type I",336
Rubinstein-Taybi syndrome,335
Acute febrile neutrophilic dermatosis,335
"Emery-Dreifuss muscular dystrophy 5, autosomal dominant",334
Melanoma,333
Malignant tumor of esophagus,332
Renal cysts and diabetes syndrome,332
Adult hypophosphatasia,329
beta Thalassemia,328
Brugada syndrome 1,327
Hereditary cancer,327
"Intellectual disability, autosomal dominant 6",326
Autosomal dominant nonsyndromic hearing loss 11,326
Fraser syndrome 1,326
Familial focal epilepsy with variable foci,324
Greig cephalopolysyndactyly syndrome,322
"Charcot-Marie-Tooth disease, type I",322
"Pituitary adenoma 5, multiple types",321
Short-rib thoracic dysplasia 10 with or without polydactyly,320
"Anemia, nonspherocytic hemolytic, due to G6PD deficiency",319
Maturity-onset diabetes of the young type 2,318
Retinitis pigmentosa 71,318
"Hirschsprung disease, susceptibility to, 1",317
"Pulmonary fibrosis and/or bone marrow failure, Telomere-related, 3",316
Clear cell carcinoma of kidney,316
Complex neurodevelopmental disorder,316
Nemaline myopathy,315
Autosomal dominant polycystic kidney disease,314
Mucopolysaccharidosis type 6,313
Autosomal recessive limb-girdle muscular dystrophy type 2O,313
Hypogonadotropic hypogonadism 5 with or without anosmia,313
"Muscular dystrophy, limb-girdle, autosomal dominant 4",312
BRCA2-related disorder,312
Congenital myasthenic syndrome,311
Histiocytic medullary reticulosis,310
Biotinidase deficiency,309
Cerebral cavernous malformation,308
"Microcephaly 5, primary, autosomal recessive",306
VPS13A-related neurodegenerative disease,306
"Colorectal cancer, susceptibility to, 12",305
Hyperkalemic periodic paralysis,305
Mitochondrial trifunctional protein deficiency,304
Hereditary leiomyomatosis and renal cell cancer,302
Joubert syndrome 17,301
"Hematuria, benign familial, 2",301
EGFR-related lung cancer,301
Diamond-Blackfan anemia,301
Inherited breast cancer and ovarian cancer,301
Autosomal recessive limb-girdle muscular dystrophy type 2L,300
Severe neonatal-onset encephalopathy with microcephaly,300
"Mucopolysaccharidosis, MPS-III-C",300
"Mucopolysaccharidosis, MPS-III-A",299
Leber congenital amaurosis 1,298
Dilated cardiomyopathy 1AA,296
Hypogonadotropic hypogonadism 2 with or without anosmia,296
Noonan syndrome,295
Cholestanol storage disease,294
"Muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B3",294
"Generalized epilepsy with febrile seizures plus, type 2",293
Charcot-Marie-Tooth disease axonal type 2V,292
Retinitis pigmentosa 20,291
Familial meningioma,289
"Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type",288
Pallister-Hall syndrome,288
PMM2-congenital disorder of glycosylation,287
PRPH2-related disorder,287
Transitory neonatal diabetes mellitus,286
Donnai-Barrow syndrome,285
Bardet-Biedl syndrome 2,285
Uterine corpus endometrial carcinoma,285
Long QT syndrome 2,284
Sarcoma,283
"Generalized epilepsy with febrile seizures plus, type 7",283
Argininosuccinate lyase deficiency,282
Hereditary insensitivity to pain with anhidrosis,282
Congenital amegakaryocytic thrombocytopenia,281
Autosomal recessive limb-girdle muscular dystrophy type 2K,281
Autosomal recessive nonsyndromic hearing loss 23,281
Multiple epiphyseal dysplasia type 4,280
Hereditary spastic paraplegia 15,280
Aortic valve disease 1,279
Charcot-Marie-Tooth disease axonal type 2S,279
Ornithine carbamoyltransferase deficiency,279
Hypohidrotic X-linked ectodermal dysplasia,279
"Telangiectasia, hereditary hemorrhagic, type 1",278
Imerslund-Grasbeck syndrome,278
Peroxisome biogenesis disorder 1A (Zellweger),276
"Developmental and epileptic encephalopathy, 14",275
Developmental and epileptic encephalopathy,275
Retinitis pigmentosa 19,275
Cone-rod dystrophy 3,275
Wiedemann-Steiner syndrome,274
Oculocutaneous albinism type 1A,274
"Aortic aneurysm, familial thoracic 7",274
Microcephalic osteodysplastic primordial dwarfism type II,274
Citrullinemia,273
Arrhythmogenic right ventricular dysplasia 11,273
Tyrosinase-positive oculocutaneous albinism,272
Infantile neuroaxonal dystrophy,271
Charcot-Marie-Tooth Neuropathy X,271
Pyruvate carboxylase deficiency,271
Alpha thalassemia-X-linked intellectual disability syndrome,271
BRCA1-related cancer predisposition,269
Fanconi anemia complementation group N,269
Atypical hemolytic-uremic syndrome,268
"HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED",268
Choanal atresia-athelia-hypothyroidism-delayed puberty-short stature syndrome,267
Fanconi anemia complementation group C,267
Diastrophic dysplasia,267
"Muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B1",264
"Polyglandular autoimmune syndrome, type 1",264
MHC class II deficiency,263
Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,262
Noonan syndrome 1,262
Dilated cardiomyopathy 1HH,261
Recessive dystrophic epidermolysis bullosa,261
Infantile hypophosphatasia,261
Joubert syndrome 9,261
Gnathodiaphyseal dysplasia,261
Autosomal recessive congenital ichthyosis 1,261
Cystinuria,260
"Exostoses, multiple, type 2",260
Angelman syndrome,260
Maple syrup urine disease type 1A,259
Severe X-linked myotubular myopathy,259
Familial hemophagocytic lymphohistiocytosis 3,259
KMT2D-related disorder,257
Autosomal recessive osteopetrosis 1,257
Anauxetic dysplasia,257
Focal segmental glomerulosclerosis 5,257
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A2",256
"Diabetes mellitus, transient neonatal, 2",256
Autosomal recessive nonsyndromic hearing loss 9,256
Sialuria,256
Leber congenital amaurosis 6,256
Autosomal dominant nonsyndromic hearing loss 6,255
Epileptic encephalopathy,255
Blau syndrome,255
PKD1-related disorder,255
Drash syndrome,254
Brain small vessel disease 1 with or without ocular anomalies,252
Imerslund-Grasbeck syndrome type 1,252
Heimler syndrome 1,252
Hereditary spastic paraplegia 7,252
Autosomal recessive nonsyndromic hearing loss 1A,251
Hearing impairment,251
"GLUT1 deficiency syndrome 1, autosomal recessive",251
Beckwith-Wiedemann syndrome,251
Angelman syndrome-like,250
Autosomal dominant nocturnal frontal lobe epilepsy 5,250
Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,249
Irido-corneo-trabecular dysgenesis,249
Holocarboxylase synthetase deficiency,248
LZTR1-related schwannomatosis,248
Carnitine palmitoyltransferase II deficiency,248
"Mitochondrial complex I deficiency, nuclear type 1",248
Stargardt disease,248
Mismatch repair cancer syndrome 1,247
Classic homocystinuria,246
Retinitis pigmentosa 80,246
Colon adenocarcinoma,246
Atelosteogenesis type II,246
Familial sleep-related hypermotor epilepsy,245
Pyridoxine-dependent epilepsy,244
Deficiency of acetyl-CoA acetyltransferase,244
Capillary malformation-arteriovenous malformation syndrome,243
Sandhoff disease,243
"Meckel syndrome, type 6",242
Polycystic kidney disease,242
Noonan syndrome and Noonan-related syndrome,241
X-linked agammaglobulinemia with growth hormone deficiency,240
"Developmental and epileptic encephalopathy, 12",240
Autosomal recessive DOPA responsive dystonia,240
Kufor-Rakeb syndrome,240
Naxos disease,240
Autosomal recessive limb-girdle muscular dystrophy type 2D,239
Junctional epidermolysis bullosa with pyloric atresia,239
Cockayne syndrome type 2,238
"Cutis laxa, X-linked",238
3-methylcrotonyl-CoA carboxylase 1 deficiency,237
"Developmental and epileptic encephalopathy, 7",237
X-linked distal spinal muscular atrophy type 3,237
Myofibrillar myopathy 6,237
Bardet-Biedl syndrome 1,237
Genitopatellar syndrome,237
Supravalvar aortic stenosis,237
Bardet-Biedl syndrome 10,237
Retinal disorder,237
Hereditary sensory and autonomic neuropathy type 6,236
Cobalamin C disease,236
Hajdu-Cheney syndrome,236
Arrhythmogenic right ventricular dysplasia 12,235
Lethal multiple pterygium syndrome,234
Tyrosinemia type I,234
"Breast-ovarian cancer, familial, susceptibility to, 5",233
Optic atrophy,233
"Intellectual disability, autosomal dominant 1",232
3-methylcrotonyl-CoA carboxylase 2 deficiency,231
Hereditary angioedema type 1,231
Asphyxiating thoracic dystrophy 5,231
"Intellectual disability, X-linked 1",230
"Developmental and epileptic encephalopathy, 27",229
Desmin-related myofibrillar myopathy,229
Glucose-6-phosphate transport defect,229
"Pancreatic cancer, susceptibility to, 3",229
Fanconi anemia complementation group D2,228
"Pulmonary hypertension, primary, 1",228
Congenital myasthenic syndrome 10,227
"Thyrotoxic periodic paralysis, susceptibility to, 1",227
Joubert syndrome and related disorders,227
"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1",226
Papillary renal cell carcinoma type 1,226
"Ehlers-Danlos syndrome, dermatosparaxis type",226
"Metaphyseal chondrodysplasia, McKusick type",226
PKHD1-related disorder,226
Vici syndrome,225
Hereditary hyperinsulinism,225
Treacher Collins syndrome 1,225
Amyotrophic lateral sclerosis type 1,225
FOXG1 disorder,224
Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,224
Charcot-Marie-Tooth disease dominant intermediate E,222
Schimke immuno-osseous dysplasia,222
"Neural tube defects, folate-sensitive",222
Birt-Hogg-Dube syndrome 1,221
11p partial monosomy syndrome,221
Cone-rod dystrophy 13,221
Thyroid dyshormonogenesis 6,220
"Muscular dystrophy, limb-girdle, autosomal recessive 23",220
DYRK1A-related intellectual disability syndrome,219
Schizophrenia,219
Waardenburg syndrome type 2A,218
"Epidermolysis bullosa simplex 3, localized or generalized intermediate, with BP230 deficiency",218
Wiskott-Aldrich syndrome,218
Retinitis pigmentosa 3,217
Homocystinuria due to methylene tetrahydrofolate reductase deficiency,217
Pitt-Hopkins syndrome,217
Autosomal recessive limb-girdle muscular dystrophy type 2N,216
Frasier syndrome,216
Galactosemia,216
Senior-Loken syndrome 8,215
Nonsyndromic genetic hearing loss,215
Pontocerebellar hypoplasia type 6,215
Dilated cardiomyopathy 1D,215
Ocular cystinosis,215
Alzheimer disease 3,215
Fumarase deficiency,214
Iodotyrosyl coupling defect,214
Pierson syndrome,214
Fanconi anemia complementation group I,214
Citrullinemia type I,213
Age related macular degeneration 2,213
Hereditary hemochromatosis,213
Neuronal ceroid lipofuscinosis 2,212
Hurler syndrome,212
Permanent neonatal diabetes mellitus,211
"SKIN/HAIR/EYE PIGMENTATION 3, LIGHT/DARK SKIN",211
Carney-Stratakis syndrome,211
Primary pulmonary hypertension,211
Hermansky-Pudlak syndrome,210
Dilated cardiomyopathy 1O,210
Acrocallosal syndrome,210
Tip-toe gait,210
Mucolipidosis type IV,210
Hypertrophic cardiomyopathy 2,209
Mismatch repair cancer syndrome 3,209
Congenital muscular hypertrophy-cerebral syndrome,209
Dilated cardiomyopathy 3B,209
Hereditary thrombocytopenia and hematologic cancer predisposition syndrome,209
LAMB2-related infantile-onset nephrotic syndrome,208
Cortical dysplasia-focal epilepsy syndrome,208
NF1-related disorder,208
ATM-related disorder,208
