condition,pathogenic_variant_count
ZMYM2-related disorder,5
Even-plus syndrome,5
"Intellectual developmental disorder, autosomal recessive 78",5
CRX-related disorder,5
Craniosynostosis 2,5
Retinal dystrophy and obesity,5
Immunodeficiency 78 with autoimmunity and developmental delay,5
Premature ovarian failure 20,5
ACAD8-related disorder,5
Amelogenesis imperfecta type 1F,5
Hereditary mucoepithelial dysplasia,5
Spasticity-ataxia-gait anomalies syndrome,5
Aortic dilatation,5
IL10-related early-onset inflammatory bowel disease,5
Atrial septal defect,5
CERKL-related disorder,5
Dowling-Degos disease 2,5
RIPK4-related disorder,5
Hereditary sensory and autonomic neuropathy type 2,5
Atrial standstill 2,5
PQBP1-related disorder,5
Autosomal recessive nonsyndromic hearing loss 93,5
AMT-related disorder,5
HSPB1-related disorder,5
"Pituitary hormone deficiency, combined, 6",5
RHIZOMELIC SKELETAL DYSPLASIA WITH PELGER-HUET ANOMALY,5
THBD-related disorder,5
Prolonged QT interval,5
BMP1-related disorder,5
TMC8-related disorder,5
NAA10-related disorder,5
ETFA-related disorder,5
Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,5
Medulloblastoma SHH activated and TP53 wild-type,5
Growth delay,5
Amyotrophic lateral sclerosis type 18,5
Tenorio syndrome,5
Orofaciodigital syndrome V,5
Type 1 diabetes mellitus 12,5
"Spinal muscular atrophy, infantile, James type",5
Aortic dissection,5
GJC2-related disorder,5
ALDH4A1-related disorder,5
Autosomal recessive nonsyndromic hearing loss 39,5
CLPB-related disorder,5
PTPRC-related disorder,5
Bartter syndrome with hypocalcemia,5
Chronic obstructive pulmonary disease,5
HYPOGONADOTROPIC HYPOGONADISM 26 WITH ANOSMIA,5
Cerebellar hypoplasia-intellectual disability-congenital microcephaly-dystonia-anemia-growth retardation syndrome,5
Coffin Siris/Intellectual Disability,5
Arterial tortuosity,5
Pulmonary alveolar proteinosis with hypogammaglobulinemia,5
non-lesional focal epilepsy,5
Adult polyglucosan body neuropathy,5
GLMN-related disorder,5
GATA4-related disorder,5
"Microcephaly, epilepsy, and diabetes syndrome 2",5
CANT1-related disorder,5
BEST1-related dominant retinopathy,5
ACOX1-related disorder,5
FMN2-related disorder,5
TNPO3-related disorder,5
SCP2-related disorder,5
Meckel syndrome 14,5
Familial pseudohyperkalemia,5
Leukoencephalopathy,5
CD46-related disorder,5
"Mitochondrial complex I deficiency, nuclear type 34",5
Segmental undergrowth associated with venous malformation without capillary component,5
SRD5A2-related disorder,5
"CEROID LIPOFUSCINOSIS, NEURONAL, 3, PROTRACTED",5
Colorectal carcinoma,5
"Dystonia, dopa-responsive, with or without hyperphenylalaninemia, autosomal recessive",5
Specific learning disability,5
FADD-related immunodeficiency,5
"Epidermolysis bullosa pruriginosa, autosomal recessive",5
"Spinocerebellar ataxia, autosomal recessive 23",5
Syndrome with microcephaly as major feature,5
Deeply set eye,5
"Celiac disease, susceptibility to, 3",5
RNF213-related disorder,5
Oocyte maturation defect 8,5
"Avascular necrosis of femoral head, primary, 1",5
Olmsted syndrome 1,5
Neurodevelopmental disorder with central hypotonia and dysmorphic facies,5
SYT1-associated neurodevelopmental disorder,5
POU1F1-related disorder,5
EPM2A-related disorder,5
SLC52A2-related disorder,5
X-linked MECP2-related disorders,5
CHM-related disorder,5
Trichothiodystrophy,5
DSTYK-related disorder,5
Seckel syndrome,5
SH3BP2-related disorder,5
"heterogeneous nuclear ribonucleoprotein G, human",5
PITPNM3-related disorder,5
IL17RA-related disorder,5
Tarsal-carpal coalition syndrome,5
lissencephaly with brainstem hypoplasia,5
DNAJB13-related disorder,5
RETINITIS PIGMENTOSA 107,5
"Exudative vitreoretinopathy 4, autosomal recessive",5
Craniofacial dysplasia - osteopenia syndrome,5
Hereditary nonpolyposis colorectal carcinoma,5
Hereditary spastic paraplegia 53,5
Vascular dementia,5
Abnormal pyramidal sign,5
Solid pseudopapillary neoplasm of the pancreas,5
CLDN14-related disorder,5
Autosomal recessive nonsyndromic hearing loss 61,5
Mayer-Rokitansky-Kuster-Hauser syndrome,5
Reclassified - variant of unknown significance,5
Burkitt lymphoma,5
Baraitser-Winter syndrome,5
Short-rib thoracic dysplasia 17 with or without polydactyly,5
PIGA-related disorder,5
Carney triad,5
Delayed fine motor development,5
Neurodevelopmental disorder with infantile epileptic spasms,5
Malignant migrating partial seizures of infancy,5
INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY WITHOUT SEIZURES,5
KCNQ3-related disorder,5
MYBPC1-related disorder,5
"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE, DIGENIC",5
AGK-related disorder,5
Familial intrahepatic cholestasis type 2,5
"Sandhoff disease, infantile form",5
Hypogonadotropic hypogonadism 8 without anosmia,5
Anencephaly,5
"METHEMOGLOBINEMIA, BETA TYPE",5
Oculocutaneous albinism type 7,5
IMPDH1-related disorder,5
FASN-related disorder,5
RNASEH2B-related disorder,5
Hypotrichosis 4,5
"B-cell immunodeficiency, distal limb anomalies, and urogenital malformations",5
"Pulmonary hypertension, primary, 5",5
HGD-related disorder,5
Apolipoprotein c-III deficiency,5
Diabetes,5
TUB-related disorder,5
"Hyperpigmentation with or without hypopigmentation, familial progressive",5
Bilateral ptosis,5
SPTBN2-related disorder,5
Atypical severe combined immunodeficiency due to complete RAG1/2 deficiency,5
Dicarboxylic aminoaciduria,5
Progressive microcephaly,5
Leigh syndrome due to mitochondrial complex I deficiency,5
OAT-related disorder,5
Neurodevelopmental disorder with seizures and speech and walking impairment,5
NIN-related disorder,5
SMARCE1-related disorder,5
"Spastic paraplegia 88, autosomal dominant",5
RIMS1-related disorder,5
DBH-related disorder,5
Ganglioglioma,5
Mitochondrial oxidative phosphorylation disorder,5
CHRND-related disorder,5
Cataract 34 multiple types,5
Familial hemolytic anemia,5
Mitochondrial DNA maintenance disorder,5
Neonatal death,5
Dysmorphic features,5
PLEKHG2-related disorder,5
Ovarian mucinous adenocarcinoma,5
Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,5
"Mitochondrial complex 5 (ATP synthase) deficiency, mitochondrial type 1",5
Autosomal dominant BRCA2-related cancer types,5
Third degree atrioventricular block,5
"Cerebellar ataxia, brain abnormalities, and cardiac conduction defects",5
Generalized resistance to thyroid hormone,5
KCNA5-related disorder,5
PSEN2-related disorder,5
Congenital smooth muscle hamartoma,5
IFITM5-related disorder,5
Multisystem inflammatory syndrome in children,5
MFSD8-related disorder,5
"Oto-palato-digital syndrome, type I",5
NSUN2-related disorder,5
Micrognathia,5
Pervasive developmental disorder,5
Brachydactyly type B2,5
"GM1-gangliosidosis, type I, with cardiac involvement",5
Gestational diabetes,5
Diffuse nonepidermolytic palmoplantar keratoderma,5
CNGA3-related retinopathy,5
Otitis media,5
ACTA1-related myopathies,5
ACAT1-related disorder,5
EEG abnormality,5
Hashimoto thyroiditis,5
GARS1-related disorder,5
ATP8A2-related disorder,5
Interstitial pneumonitis,5
SNX14-related disorder,5
"Developmental and epileptic encephalopathy, 90",5
LETM1-associated clinical spectrum with predominant nervous system involvement,5
VDR-related disorder,5
LAMP2-related disorder,5
EIF2B3-related disorder,5
Corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome,5
Heritable Thoracic Aortic Disease,5
SDHAF2-related disorder,5
PTH1R-related disorder,5
Flexion contracture,5
BDP1-related disorder,5
SELENON-related disorder,5
Hypertrophic cardiomyopathy 18,5
Alanine glyoxylate aminotransferase deficiency,5
PURA Syndrome,5
FERMT3-related disorder,5
PIGT-related disorder,5
LIFR-related disorder,5
PROKR2-related disorder,5
Autosomal recessive POLR3A-related disorders,5
Bethlem myopathy,5
"Esophageal squamous cell carcinoma, somatic",5
"Spinocerebellar ataxia, autosomal recessive 30",5
Susceptibility to HIV infection,5
Spermatogenic failure 77,5
Optic nerve glioma,5
Familial expansile osteolysis,5
Polyagglutinable erythrocyte syndrome,5
DNAAF4-related disorder,5
Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities,5
Progressive sensorineural hearing impairment,5
"Developmental and epileptic encephalopathy, 63",5
"Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities",5
WBP11 spliceosomopathy,5
"Developmental and epileptic encephalopathy, 79",5
Age-related macular degeneration,5
Myelodysplasia,5
Platelet-type bleeding disorder 20,5
Jaundice,5
"Neutropenia, severe congenital, 9, autosomal dominant",5
BMPR1B-related disorder,5
Carpal tunnel syndrome 2,5
Inherited prion disease,5
Cortical tubers,5
CARS2-related disorder,5
"Thyroid adenoma, hyperfunctioning, somatic",5
Overhydrated hereditary stomatocytosis,5
Structural brain anomalies with impaired intellectual development and craniosynostosis,5
Abnormality of vision,5
CLIC5-related disorder,5
HOGA1-related disorder,5
Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,5
UBA5-related disorder,5
TOP3A-related disorder,5
Oocyte maturation defect 9,5
Retinitis pigmentosa 58,5
CACNB4-related disorder,5
CDT1-related disorder,5
CLN6-related disorder,5
LRTOMT-related disorder,5
MYOM1-related disorder,5
MYOT-related disorder,5
VSX2-related disorder,5
Bannayan-Riley-Ruvalcaba syndrome,5
Glutaric acidemia IIa,5
SLC40A1-related disorder,5
"Intellectual developmental disorder, X-linked, syndromic, Hackmann-Di Donato type",5
Sturge-Weber syndrome,5
Triphalangeal thumb,5
Multiple synostoses syndrome 4,5
ITK-related disorder,5
PODXL-related disorder,5
COG1-related disorder,5
Linear porokeratosis,5
SPATA7-related disorder,5
CLASP1-related disorder,5
"SPHEROCYTOSIS, TYPE 1, AUTOSOMAL RECESSIVE",5
"Porphyria, acute intermittent, nonerythroid variant",5
SPART-related disorder,5
TUBB3-related tubulinopathy,5
RARS2-related disorder,5
VEXAS syndrome,5
Intellectual developmental disorder with paroxysmal dyskinesia or seizures,5
C7-related disorder,5
PPT1-related disorder,5
CEP41-related disorder,5
Peroxisome biogenesis disorder due to PEX1 defect,5
Night blindness,5
"Spondylocostal dysostosis 4, autosomal recessive",5
Acute megakaryoblastic leukemia,5
Agnathia-otocephaly complex,5
SPINK1-related disorder,5
"LEUKOENCEPHALOPATHY, PROGRESSIVE, INFANTILE-ONSET, WITH DEAFNESS",5
Neuroendocrine neoplasm,5
"Alpha-thalassemia, Dutch type",5
"Heart-hand syndrome, Slovenian type",5
TTC19-related disorder,5
Autosomal recessive inheritance,5
Hirsutism,5
Noonan-like syndrome,5
"Developmental and epileptic encephalopathy, 40",5
"Cortical dysplasia, complex, with other brain malformations 12",5
GCH1-related disorder,5
MARVELD2-related disorder,5
STIM1-related disorder,5
"Myopia 2, autosomal dominant",5
LRIT3-related disorder,5
NIK deficiency,5
Hyper-IgE syndrome,5
Lymphedema,5
Lissencephaly with decussation defect,5
Mitochondrial myopathy with reversible cytochrome C oxidase deficiency,5
Autosomal recessive amelia,5
AP3D1-related disorder,5
"Retinitis pigmentosa 94, variable age at onset",5
Non-syndromic oligodontia,5
"Arthrogryposis, distal, type 2B2",5
CLN8-related disorder,5
Lipoprotein glomerulopathy,5
Pachyonychia congenita 4,5
Juvenile type testicular granulosa cell tumor,5
Autosomal dominant sensory ataxia 1,5
Dysphagia,5
"Gastrointestinal stromal tumor, familial",5
Primary ciliary dyskinesia 26,5
GIPC3-related disorder,4
"Cardiomyopathy, dilated, 2F",4
"Spondyloepimetaphyseal dysplasia with joint laxity, type 3",4
Atelis syndrome 2,4
ERBB3-related disorder,4
Carney complex - trismus - pseudocamptodactyly syndrome,4
NFKB1-related disorder,4
Congenital myopathy 25,4
HTRA1-related disorder,4
Fetal akinesia deformation sequence 4,4
DLL4-related disorder,4
Hypotrichosis 15,4
"AMED syndrome, digenic",4
HR-related disorder,4
"Spinocerebellar ataxia, autosomal recessive 33",4
Juvenile cataract-microcornea-renal glucosuria syndrome,4
CACNA1E-related disorder,4
Patent ductus arteriosus 2,4
X-linked DMD-related disorders,4
Hyperbiliverdinemia,4
"Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities",4
BICRA-related disorder,4
Spinocerebellar ataxia type 17,4
SH2B1-related disorder,4
"Multiple sclerosis, susceptibility to",4
MEGF8-related disorder,4
MHC class I deficiency 1,4
OTX2-related disorder,4
Mitochondrial dna depletion syndrome 21,4
"Nephrotic syndrome, type 17",4
Autosomal dominant and autosomal recessive FLG-related disorders,4
Fetal akinesia-cerebral and retinal hemorrhage syndrome,4
MPZL2-related disorder,4
Autoinflammation with arthritis and vasculitis,4
Combined oxidative phosphorylation defect type 25,4
"Spondyloepimetaphyseal dysplasia, matrilin-3 type",4
Gamma-glutamylcysteine synthetase deficiency,4
Dent disease,4
Premature ovarian failure 12,4
TAOK1-related disorder,4
SFTPB-related disorder,4
KDM2B-related disorder,4
Arthrogryposis,4
"Nystagmus, congenital, autosomal recessive",4
Autosomal recessive spastic ataxia,4
"Spinocerebellar ataxia, autosomal recessive 26",4
GIGYF1-related disorder,4
CSNK2B-related disorder,4
TINF2-related disorder,4
Osteogenesis imperfecta type 17,4
"Fanconi anemia, complementation group 10",4
VPS13C-related disorder,4
GATAD2B-related disorder,4
Premature ovarian failure 24,4
Multiple mitochondrial dysfunctions syndrome 10,4
Frontal bossing,4
SBDS-related disorder,4
Semilobar holoprosencephaly,4
"Encephalopathy, acute, infection-induced, susceptibility to, 9",4
"CARDIOMYOPATHY, DILATED, 2N",4
Wolfram syndrome 2,4
CPA6-related disorder,4
PREPL-related disorder,4
UBA2-related disorder,4
"Neurodevelopmental disorder with poor or absent speech, dysmorphic facies, and behavioral abnormalities",4
DPM1-related disorder,4
ECM1-related disorder,4
Juvenile hemochromatosis,4
NFKB2-related disorder,4
Spinal muscular atrophy with lower extremity predominance,4
"Hearing loss, autosomal recessive 109",4
RAD51-related disorder,4
ARHGAP24-related disorder,4
Hypokalemia,4
Cranioectodermal dysplasia 5,4
"Autism, susceptibility to, X-linked 1",4
Long-Olsen-Distelmaier syndrome,4
CTR9-related disorder,4
Erythrokeratodermia variabilis et progressiva 5,4
Houge-Janssens syndrome 4,4
Spermatogenic failure 48,4
Neurodevelopmental disorder with progressive spasticity and brain abnormalities,4
Nanophthalmos 4,4
PDHA1-related disorder,4
Oculopharyngeal muscular dystrophy 2,4
LRRC56-related disorder,4
TOE1-related disorder,4
SLC7A7-related disorder,4
"Biliary, renal, neurologic, and skeletal syndrome",4
"Myasthenic syndrome, congenital, 24, presynaptic",4
"Hemolytic uremic syndrome, atypical, 8, with rhizomelic short stature",4
KLKB1-related disorder,4
Limb-mammary syndrome,4
Craniosynostosis-anal anomalies-porokeratosis syndrome,4
"Spastic paraplegia 81, autosomal recessive",4
Cold-induced sweating syndrome,4
"Neurodegeneration, infantile-onset, with optic atrophy and brain abnormalities",4
Tessadori-van Haaften neurodevelopmental syndrome 1,4
ASCC1-related disorder,4
GRXCR1-related disorder,4
Vesicoureteral reflux 3,4
HBA2-related disorder,4
KATNIP-related disorder,4
"Hearing loss, autosomal dominant 84",4
"Leukoencephalopathy, porphyria-related",4
"Leukodystrophy, hypomyelinating, 17",4
ACACB-related disorder,4
MPI-related disorder,4
Orofaciodigital syndrome,4
"Leukoencephalopathy without lacunae, adult-onset",4
Rajab interstitial lung disease with brain calcifications 2,4
ANE syndrome,4
NEUROD1-related disorder,4
"Spastic paraplegia 83, autosomal recessive",4
CECR2-related neurodevelopmental disorder,4
Epsilon-trimethyllysine hydroxylase deficiency,4
"Leukodystrophy, hypomyelinating, 25",4
Tricho-oculo-dermo-vertebral syndrome,4
Kleefstra syndrome,4
DTNBP1-related disorder,4
X-linked progressive cerebellar ataxia,4
ALS2-related motor neuron disease,4
BIN1-related disorder,4
GPR143-related foveal hypoplasia,4
Spermatogenic failure 47,4
"Short stature, Dauber-Argente type",4
NRAS-related disorder,4
PMP22-related disorder,4
Autosomal recessive ABCC6-related disorders,4
Proximal 16p11.2 microdeletion syndrome,4
TRIP12-related disorder,4
"Nephrolithiasis, calcium oxalate, 2, with or without nephrocalcinosis",4
Orofaciodigital syndrome 17,4
GPAA1-related disorder,4
"Febrile seizures, familial, 3a",4
Osteosarcoma,4
Neurodevelopmental disorder plus optic atrophy,4
Neurodevelopmental disorder with early-onset parkinsonism and behavioral abnormalities,4
IKZF1-related disorder,4
"Myopia 24, autosomal dominant",4
USP53-related disorder,4
SLC16A1-related disorder,4
Chromosome 3q29 microdeletion syndrome,4
"Chromosome 17q11.2 deletion syndrome, 1.4Mb",4
"Peripheral motor neuropathy, childhood-onset, biotin-responsive",4
GDF5-related disorder,4
"Hearing loss, autosomal dominant 90",4
Congenital generalized lipodystrophy,4
Familial ectopia lentis,4
"Microcephaly 24, primary, autosomal recessive",4
ARF3-related disorder,4
Spondylodysplastic Ehlers-Danlos syndrome,4
"Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 1",4
SIX5-related disorder,4
GRHL2-related disorder,4
3-Methylglutaconic aciduria,4
Hyperphosphatasia-intellectual disability syndrome,4
F10-related disorder,4
Autosomal dominant nonsyndromic hearing loss 68,4
"Heterotaxy, visceral, 2, autosomal",4
"Mitochondrial complex IV deficiency, nuclear type 23",4
NYX-related disorder,4
"Immune dysregulation, neurodevelopmental defects, and colitis",4
Spermatogenic failure 51,4
Spermatogenic failure 81,4
DNM1-related disorder,4
"Developmental and epileptic encephalopathy, 31B",4
AEBP1-related disorder,4
"Neurodevelopmental disorder with microcephaly, absent speech, and hypotonia",4
Spermatogenic failure 73,4
Acromesomelic dysplasia 4,4
"Hearing loss, autosomal recessive 113",4
Orofaciodigital syndrome 20,4
SPEN-related disorder,4
SETD1B-related disorder,4
Linear skin defects with multiple congenital anomalies 2,4
Hypotrichosis 11,4
Congenital myopathy 21 with early respiratory failure,4
OPLAH-related disorder,4
SPRED1-related disorder,4
XIAP-related disorder,4
CFAP44-related disorder,4
MSX1-related disorder,4
Liberfarb syndrome,4
"Autoinflammatory disease, systemic, with vasculitis",4
"Trichothiodystrophy 5, nonphotosensitive",4
ALDH3A2-related disorder,4
HTRA1-related cerebral small vessel disease,4
Neoplasm of the endocrine system,4
CDC73-related disorder,4
Azorean disease,4
Mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition,4
Acquired polycythemia vera,4
FGF3-related disorder,4
"Immunodeficiency 106, susceptibility to viral infections",4
"Myasthenic syndrome, congenital, 23, presynaptic",4
Carey-Fineman-Ziter syndrome 2,4
Autosomal dominant KAT6B-related disorders,4
"Neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties",4
SRD5A3-related disorder,4
"Intellectual developmental disorder, autosomal recessive 82",4
Immunodeficiency 97 with autoinflammation,4
Webb-Dattani syndrome,4
Developmental and epileptic encephalopathy-107,4
ATP2A2-related disorder,4
CCDC115-CDG,4
HP:0001263,4
"Usher syndrome, type 1M",4
Retinal dystrophy with leukodystrophy,4
Spinocerebellar atrophy,4
"Ciliary dyskinesia, primary, 53",4
KRT16-related disorder,4
Cortical dysplasia,4
Retinitis pigmentosa 72,4
Cockayne spectrum with or without cerebrooculofacioskeletal syndrome,4
TDRD7-related disorder,4
Diencephalic-mesencephalic junction dysplasia,4
Treacher Collins syndrome 4,4
"Basal ganglia calcification, idiopathic, 10, autosomal recessive",4
"Spermatogenic failure, Y-linked, 2",4
Hydroxykynureninuria,4
"Pontocerebellar hypoplasia, IIA 17",4
"Gaze palsy, familial horizontal, with progressive scoliosis, 2",4
ZMYND11-related disorder,4
"Autoimmune disease, multisystem, infantile-onset, 3",4
"Cardiomyopathy, dilated, 2I",4
MASP2-related disorder,4
ITGAV deficiency,4
PHKG2-related disorder,4
"Spondyloepimetaphyseal dysplasia, di rocco type",4
NADSYN1-related disorder,4
Alkaline ceramidase 3 deficiency,4
FCSK-related disorder,4
Congenital heart disease (variable),4
IDS-related disorder,4
GYS2-related disorder,4
HNRNPU-related disorder,4
"Intellectual disability, X-linked 105",4
NUP205-related disorder,4
"Intellectual disability, X-linked 107",4
ADAR-related disorder,4
Patent ductus arteriosus 3,4
Acatalasia,4
"Neurodevelopmental disorder with spasticity, seizures, and brain abnormalities",4
"Microcephaly, epilepsy, and diabetes syndrome",4
"Cardiomyopathy, familial hypertrophic, 29, with polyglucosan bodies",4
ACY1-related disorder,4
Leukodystrophy and acquired microcephaly with or without dystonia,4
Chromosome 17p13.3 duplication syndrome,4
Developmental and epileptic encephalopathy 115,4
"Mucopolysaccharidosis, type 10",4
PIK3R1-related disorder,4
GNRHR-related disorder,4
"Neurodevelopmental disorder with thin corpus callosum, hypotonia, and absent language",4
Periventricular nodular heterotopia 6,4
Autosomal recessive cutis laxa type 2D,4
"Hearing loss, autosomal recessive 116",4
Peeling skin syndrome 5,4
"Lipodystrophy, familial partial, type 9",4
Mosaic variegated aneuploidy syndrome 3,4
"Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly",4
THOC6-related disorder,4
Vibratory urticaria,4
"Macular dystrophy, retinal, 5",4
SLC5A5-related disorder,4
GSS-related disorder,4
IQCE-related disorder,4
WHIM syndrome 2,4
AIMP1-related disorder,4
SNTA1-related disorder,4
Metabolic disease,4
FUCA1-related disorder,4
ENAM-related disorder,4
WDR81-related disorder,4
Autosomal dominant nonsyndromic hearing loss 51,4
Tayoun-Maawali syndrome,4
TGM6-related disorder,4
Craniofacial microsomia 2,4
DOCK3-related disorder,4
Childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder,4
Autosomal recessive nonsyndromic hearing loss 101,4
NLRP7-related disorder,4
CTNND1-related disorder,4
UBQLN2-related disorder,4
GYS1-related disorder,4
Primary brain neoplasm,4
Galloway-Mowat syndrome 7,4
ZMPSTE24-related disorder,4
DNAH7-related disorder,4
NUP107-related disorder,4
Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,4
ALAS2-related disorder,4
Oocyte/zygote/embryo maturation arrest 21,4
"Intellectual developmental disorder, autosomal recessive 67",4
Optic atrophy 16,4
HP:0000750,4
IKBKB-related disorder,4
SRRM2-related disorder,4
"Hearing loss, autosomal dominant 73",4
Developmental and epileptic encephalopathy 118,4
TSEN54-related disorder,4
Bent bone dysplasia syndrome 2,4
TAF1-related disorder,4
Childhood Onset VCP-related Neurodevelopmental Disorder,4
CTSF-related disorder,4
GAMT-related disorder,4
"Mitochondrial complex 5 (ATP synthase) deficiency, nuclear type 6",4
NEK9-related lethal skeletal dysplasia,4
ACTH-independent macronodular adrenal hyperplasia 3,4
BRWD3-related disorder,4
PNPLA8-related disorder,4
PITX2-related disorder,4
TET3-related disorder,4
Hereditary thrombophilia due to congenital protein C deficiency,4
"Neurodevelopmental disorder with microcephaly, seizures, and neonatal cholestasis",4
PAUL-CHAO NEURODEVELOPMENTAL SYNDROME,4
IFT122-related disorder,4
UNC13A-related disorder,4
"Hearing loss, autosomal recessive 120",4
RAD21-related disorder,4
SLITRK6-related disorder,4
Craniosynostosis with ectopia lentis,4
"Neurodevelopmental disorder with seizures, hypotonia, and variable spasticity",4
HDAC4-related disorder,4
BRPF1-related disorder,4
"Cardiomyopathy, dilated, 2j",4
Pediatric high-grade glioma,4
SCNN1G-related disorder,4
Seckel syndrome 10,4
RBBP8-related disorder,4
"Trichothiodystrophy 7, nonphotosensitive",4
Autosomal recessive MADD-related disorders,4
Russell-Silver syndrome,4
ELP2-related disorder,4
"Hearing loss, autosomal dominant 87",4
Reis-Bucklers' corneal dystrophy,4
"Usmani-Riazuddin syndrome, autosomal recessive",4
GRHL3-related disorder,4
"Parkinson disease 5, autosomal dominant, susceptibility to",4
Gastrointestinal defects and immunodeficiency syndrome 2,4
"Heterotaxy, visceral, 14, autosomal",4
Alazami-Yuan syndrome,4
Orofaciodigital syndrome IX,4
"Developmental and epileptic encephalopathy, 47",4
CRYAB-related disorder,4
HCFC1-related disorder,4
Tan-Almurshedi syndrome,4
PXDN-related disorder,4
DNA2-related disorder,4
Groenouw corneal dystrophy type I,4
"Neurodevelopmental disorder with microcephaly, short stature, and speech delay",4
"Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay",4
"Intellectual disability, FRA12A type",4
Mesoaxial synostotic syndactyly with phalangeal reduction,4
Atrial septal defect 6,4
PDX1-related disorder,4
Retinitis pigmentosa 100,4
"Vas deferens, congenital bilateral aplasia of, X-linked",4
"Epidermodysplasia verruciformis, susceptibility to, 3",4
"Microcephaly 13, primary, autosomal recessive",4
Premature ovarian failure 25,4
PLOD2-related disorder,4
"Global developmental delay, progressive ataxia, and elevated glutamine",4
Retinitis pigmentosa with or without extraocular features,4
DZIP1L-related disorder,4
Spermatogenic failure 44,4
Polyendocrine-polyneuropathy syndrome,4
FBXW7-related disorder,4
PAFAH1B1-related disorder,4
POMK-related disorder,4
Tall stature-intellectual disability-renal anomalies syndrome,4
MGAT2-related disorder,4
Phosphoribosylaminoimidazole carboxylase deficiency,4
SFTPC-related disorder,4
"Charcot-Marie-Tooth disease, axonal, type 2KK",4
Immunodeficiency due to ficolin3 deficiency,4
"Developmental and epileptic encephalopathy, 72",4
11q partial monosomy syndrome,4
"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1",4
"Coronary artery disease, autosomal dominant 2",4
Brachydactyly type A1A,4
"Arthrogryposis, distal, type 12",4
FGB-related disorder,4
SIN3A-related intellectual disability syndrome,4
X-linked syndromic intellectual disability,4
"Cleft palate, proliferative retinopathy, and developmental delay",4
Complex lethal osteochondrodysplasia,4
"Hearing loss, autosomal dominant 74",4
TNS2-related disorder,4
"Hepatitis B virus, susceptibility to",4
"Cardiomyopathy, familial hypertrophic, 31",4
PGM3-related disorder,4
Neurofacioskeletal syndrome with or without renal agenesis,4
ALG6-related disorder,4
Young syndrome,4
Bilateral cryptorchidism,4
Hypogonadotropic hypogonadism 16 with or without anosmia,4
TM2D3-related disorder,4
GLE1-related disorder,4
PLXNA3-related disorder,4
KCNE1-related disorder,4
Primary immunodeficiency or monogenic inflammatory bowel disease,4
Lymphatic malformation 12,4
Familial isolated dilated cardiomyopathy,4
"Neurodevelopmental disorder with poor growth, seizures, and brain abnormalities",4
"Microphthalmia, isolated, with coloboma 10",4
CPOX-related disorder,4
SLC39A4-related disorder,4
Sensory neuropathy,4
Retinitis pigmentosa-deafness syndrome,4
Seborrheic keratosis,4
Triple-Negative Breast Cancer Finding,4
"Spastic paraplegia 87, autosomal recessive",4
"Niemann-Pick disease, type C1, juvenile form",4
Paramyotonia congenita/hyperkalemic periodic paralysis,4
KIAA1549-related disorder,4
Spectraplakinopathy type I,4
Olmsted syndrome 2,4
Peripheral axonal neuropathy,4
CLN5-related disorder,4
Spastic ataxia 1,4
SGCD-related disorder,4
Spermatogenic failure 3,4
Continuous spike and waves during slow sleep,4
Hyperammonemia,4
"Intellectual disability, X-linked, syndromic, 35",4
Lung sarcomatoid carcinoma,4
Atrioventricular septal defect and common atrioventricular junction,4
Coronary artery disorder,4
CLN3-related disorder,4
CYP4V2-related disorder,4
Dentici-Novelli neurodevelopmental syndrome,4
PNPLA1-related disorder,4
KA-like vemurafenib-induced squamous lesions,4
DNM1L-related disorder,4
ERMARD-related disorder,4
ANLN-related disorder,4
Bradyopsia,4
C5-related disorder,4
ROGDI-related disorder,4
DUOXA2-related disorder,4
NDUFAF5-related disorder,4
DGKE-related disorder,4
Spinocerebellar ataxia type 27,4
Reticulate acropigmentation of Kitamura,4
TXNRD2-related disorder,4
DDC-related disorder,4
Noonan syndrome-like disorder with loose anagen hair,4
Segmental undergrowth associated with mainly venous malformation with capillary component,4
Congenital titinopathy,4
Neurodevelopmental disorder with microcephaly and dysmorphic facies,4
"Mitral valve prolapse, myxomatous 2",4
DHX37-related disorder,4
"Myopathy, congenital, with excess of muscle spindles",4
mitochondrial hepatopathy,4
HFE-related disorder,4
PRKN-related disorder,4
ACTA2-related disorder,4
Lichtenstein-Knorr syndrome,4
